2019.06.15 21:19:33.132 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:19:33.132 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:19:33.132 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:19:34.133 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:34.133 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:35.135 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:35.135 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:36.135 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:36.135 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:37.136 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:37.136 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:38.137 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:38.137 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:39.137 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:39.137 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:40.137 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:40.137 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:41.138 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:19:41.138 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:50.892 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.15 21:21:50.892 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.15 21:21:50.895 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.15 21:21:50.895 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.15 21:21:50.895 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:21:50.895 INFO  Server.Server - Server is waiting for clients...
2019.06.15 21:21:51.896 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:51.896 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:52.896 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:52.896 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:53.898 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:53.898 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:54.899 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:54.899 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:55.900 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:55.900 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.15 21:21:56.900 DEBUG Server.Server - Socket Timeout - No clients pending!
